Название	Название-2	Соседние станции	Субъект РФ	Направление	lat	lng
64 км	Лесная	Фрязево, Колонтаево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
66 км	66 км	Чепелево, Столбовая	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
7 км		Узуново, Клемово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
76 км	76 км	Сергиев Посад, 81 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
81 км	81 км81 км	76 км, 83 км, Наугольный	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
83 км	83 км	81 км, Бужаниново	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
85 км	85 км	Жилево, Шугарево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
87 км	87 км	Орехово-Зуево, Кабаново	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
90 км	90 км	Бужаниново, Арсаки (Владимирская область)	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
92 км	92 км	Авангард, Шарапова Охота	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Абрамцево	Абрамцево	Радонеж, Хотьково	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Авангард	Авангард	Серпухов, 92 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Авиационная	Авиационная	Домодедово, Космос	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Акри	Акри	Белопесоцкий, Ступино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Андроновка		Лефортово, Угрешская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Ашукинская	Ашукинская	Софрино, Калистово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Аэропорт-Домодедово	Аэропорт-Домодедово	Космос	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Балашиха	Балашиха	Горенки	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Барыбино	Барыбино	52 км, Вельяминово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Бахчиванджи	Бахчиванджи	Чкаловская, Циолковская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Белокаменная	ЕСР: 199110		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Белопесоцкий	Белопесоцкий	Кашира-Пассажирская, Акри	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Белые Столбы	Белые Столбы	52 км, Востряково	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Бирюлево-Пассажирская	Бирюлёво-Пассажирская	Булатниково, Бирюлево-Товарная	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Бирюлево-Товарная	Бирюлёво-Товарная	Царицыно, Бирюлево-Пассажирская, Чертаново	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Битца	Битца	Бутово, Красный Строитель	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Богатищево	Богатищево	146 км, 137 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Бойня	ЕСР: 199712		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Болшево	БолшевоБолшево	Подлипки-Дачные, Валентиновка, Фабрика 1 Мая	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Братцево		Серебряный Бор, Лихоборы	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Бубяково	БубяковоБубяково	47 км, 39 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Бужаниново	Бужаниново	83 км, 90 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Булатниково	Булатниково	Расторгуево, Бирюлево-Пассажирская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Бутово	Бутово	Щербинка, Битца	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Валентиновка	Валентиновка	Болшево, Загорянская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Вельяминово	Вельяминово	Барыбино, Привалово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Весенняя	Весенняя	Гривно, Кутузовская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Взлетная	Взлётная	Востряково, Домодедово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Владыкино-Московское		Лихоборы, Ростокино	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Воиново	Воиново	Крутое, Усад (Владимирская область)	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
